Code,Total Points,Total Lignes,Year,Ville Client,Code Postal,Nb Colis,Timbrecli,Timbrecde
25862,3540.0,4,2007,ARROU,28,2,0.0,9.85
25861,3120.0,5,2007,ARROU,28,1,0.0,7.85
67788,2400.0,1,2015,SAINT FRAIMBAULT,61,1,0.0,12.0
67297,2400.0,3,2015,SIOUVILLE HAGUE,50,1,0.0,12.0
67983,2040.0,4,2015,MAGNEVILLE,50,1,0.0,11.5
70748,1900.0,4,2016,VILLENEUVE EN PERSEIGNE,72,1,0.0,16.3
70780,1880.0,5,2016,LOMBRON,72,1,0.0,10.6
64214,1800.0,2,2014,CHERBOURG EN COTENTIN,50,1,0.0,11.0
64210,1700.0,6,2014,ST GERMAIN DU CORBEIS,61,1,0.0,9.0
71659,1690.0,8,2016,ARGENTAN,61,1,0.0,10.6
65413,1670.0,7,2014,GESNES LE GANDELIN,72,1,0.0,10.0
56790,1670.0,7,2012,PARIS,75,1,0.0,7.8
66847,1650.0,7,2015,FALAISE,14,1,0.0,10.5
65324,1645.0,8,2014,GRANVILLE,50,1,0.0,10.0
71970,1540.0,5,2016,ETIVAL LES LE MANS,72,1,0.0,9.7
57340,1540.0,7,2012,CONDE EN NORMANDIE,14,1,0.0,7.8
59319,1485.0,5,2013,SAINT GERMAIN DE CLAIREFEUILLE,61,1,12.8,9.1
63214,1480.0,5,2014,ARCONNAY,72,1,0.0,8.7
16234,1440.0,3,2006,ARROU,28,2,0.0,6.4
72129,1420.0,4,2016,NOYANT VILLAGES,49,1,0.0,10.6
71227,1410.0,4,2016,COURGAINS,72,1,0.0,9.7
66834,1400.0,4,2015,ST PIERRE EGLISE,50,1,0.0,10.5
63338,1400.0,4,2014,MOUEN,14,1,0.0,9.1
66574,1390.0,4,2015,SILLE LE GUILLAUME,72,1,0.0,10.5
56136,1390.0,4,2012,BRAY,27,1,0.0,7.8
67647,1360.0,3,2015,BRETTEVILLE SUR LAIZE,14,1,0.0,9.5
72147,1350.0,3,2016,AGNEAUX,50,1,0.0,10.6
62227,1330.0,4,2013,ST BRICE DE LANDELLES,50,1,0.0,8.7
16236,1320.0,3,2006,ARROU,28,4,6.0,6.0
61623,1320.0,2,2013,DONVILLE LES BAINS,50,1,0.0,8.7
65412,1320.0,3,2014,BERVILLE EN ROUMOIS,27,1,0.0,9.0
63239,1320.0,3,2014,DONVILLE LES BAINS,50,1,0.0,8.7
15369,1300.0,2,2006,SAI,61,2,0.0,7.15
15348,1300.0,2,2006,SAINTE OPPORTUNE,61,2,10.48,8.6
73716,1300.0,2,2016,CHICHEBOVILLE,14,1,0.0,9.7
73828,1275.0,8,2016,TINCHEBRAY BOCAGE,61,1,0.0,10.6
68315,1270.0,3,2015,SAINT CYR LA CAMPAGNE,27,1,0.0,9.5
62644,1260.0,2,2014,LOISAIL,61,1,0.0,8.7
67600,1250.0,4,2015,ST GERMAIN DU CORBEIS,61,1,0.0,9.5
73699,1250.0,8,2016,CHAMPAGNE,72,3,0.0,10.6
50124,1240.0,2,2011,LA FERTE MACE,61,1,0.0,7.8
49606,1240.0,3,2011,DONVILLE LES BAINS,50,1,0.0,7.8
63685,1240.0,3,2014,HAUVILLE,27,1,0.0,9.0
48827,1240.0,3,2010,SAINT LO,50,1,0.0,7.8
54533,1240.0,6,2012,BRIOSNE LES SABLES,72,1,0.0,7.8
